"movie_name","movie_url","score","evalue_users","year","other"
"罗生门 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291879/",8.7,99833,1950," 日本 / 犯罪 / 剧情 / 悬疑"
"碧海蓝天 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300960/",8.7,98183,1988," 法国 / 美国 / 意大利 / 剧情 / 爱情"
"荒蛮故事 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/24750126/",8.7,92532,2014," 阿根廷 / 西班牙 / 剧情 / 喜剧 / 犯罪"
"爱在午夜降临前 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/10808442/",8.7,91088,2013," 美国 / 剧情 / 爱情"
"梦之安魂曲 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292270/",8.7,90808,2000," 美国 / 剧情"
"绿里奇迹 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300374/",8.7,88569,1999," 美国 / 犯罪 / 剧情 / 奇幻 / 悬疑"
"赛德克·巴莱 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3993559/",8.7,86248,2012," 台湾 / 剧情 / 历史 / 战争"
"大卫·戈尔的一生 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1305725/",8.7,68140,2003," 美国 / 德国 / 英国 / 剧情 / 犯罪 / 悬疑"
"中央车站 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292218/",8.7,68045,1998," 巴西 / 法国 / 剧情"
"千钧一发 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1300117/",8.7,65176,1997," 美国 / 剧情 / 科幻"
"未麻的部屋 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1395091/",8.7,64995,1998," 日本 / 动画 / 奇幻 / 惊悚"
"阿凡达 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1652587/",8.6,466188,2010," 美国 / 英国 / 动作 / 冒险 / 奇幻 / 科幻"
"超能陆战队 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/11026735/",8.6,304540,2015," 美国 / 喜剧 / 动作 / 科幻 / 动画 / 冒险"
"禁闭岛 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2334904/",8.6,303402,2010," 美国 / 剧情 / 悬疑 / 惊悚"
"告白 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/4268598/",8.6,287010,2010," 日本 / 剧情 / 惊悚"
"岁月神偷 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3792799/",8.6,268012,2010," 香港 / 中国大陆 / 剧情 / 家庭"
"致命ID (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1297192/",8.6,265757,2003," 美国 / 剧情 / 悬疑 / 惊悚"
"重庆森林 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291999/",8.6,264987,1994," 香港 / 剧情 / 爱情"
"哈利·波特与死亡圣器(下) (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/3011235/",8.6,232117,2011," 美国 / 英国 / 剧情 / 悬疑 / 奇幻 / 冒险"
"怪兽电力公司 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291579/",8.6,199059,2001," 美国 / 喜剧 / 动画 / 儿童 / 奇幻"
"幸福终点站 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292274/",8.6,198420,2005," 美国 / 喜剧 / 剧情 / 爱情"
"雨人 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291870/",8.6,182449,1988," 美国 / 剧情"
"爆裂鼓手 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/25773932/",8.6,179987,2014," 美国 / 剧情 / 音乐"
